제목,가격,판매지수,출판년월
프로젝트 헤일메리,"19,800","판매지수 655,119",2026년 02월
품격 있는 대화를 위한 지식 브리핑,"22,500","판매지수 163,380",2026년 04월
안녕이라 그랬어,"15,120","판매지수 559,926",2025년 06월
타몬 군 지금 어느 쪽?! 12,"5,400","판매지수 74,220",2026년 05월
"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)","19,800","판매지수 319,287",2025년 12월
니체의 초월자,"15,210","판매지수 281,919",2025년 10월
흔한남매 22,"15,120","판매지수 209,625",2026년 04월
바다에서 온 소년,"17,820","판매지수 78,414",2026년 04월
내면 근력,"19,800","판매지수 87,186",2026년 04월
인생을 위한 최소한의 생각,"17,820","판매지수 309,213",2026년 02월
"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하","16,650","판매지수 397,683",2025년 12월
사춘기 엄마의 오장육부,"16,020","판매지수 72,477",2026년 04월
구멍청,"15,300","판매지수 95,457",2026년 05월
모순,"11,700","판매지수 467,991",2013년 04월
"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상","17,100","판매지수 425,346",2025년 12월
2026 선재국어 최우선 봉투 모의고사,"22,500","판매지수 181,329",2026년 04월
완벽한 원시인,"19,800","판매지수 194,091",2026년 03월
싯다르타,"7,200","판매지수 199,374",2002년 01월
21세기 대군부인 대본집 세트,"54,000","판매지수 144,297",2026년 05월
나쁜 일이 있어도 나쁜 날은 아니야,"15,120","판매지수 90,813",2026년 01월
제미나이 주식투자,"18,000","판매지수 71,256",2026년 04월
괴테는 모든 것을 말했다,"15,300","판매지수 414,846",2025년 11월
체호프 단편선,"8,100","판매지수 42,081",2002년 11월
위버멘쉬,"16,020","판매지수 424,260",2025년 03월
박곰희 연금 부자 수업,"18,900","판매지수 541,560",2025년 06월
누구나 오를 종목을 찾는 급등의 법칙,"22,500","판매지수 32,643",2026년 05월
자몽살구클럽,"10,800","판매지수 350,778",2025년 07월
무례한 세상에서 나를 지키는 법,"17,820","판매지수 162,768",2026년 03월
ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,"19,800","판매지수 233,910",2025년 12월
백지 앞에서,"15,750","판매지수 63,411",2026년 04월
2026 심우철 실전 동형 모의고사 Season 4,"13,500","판매지수 24,720",2026년 05월
ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,"19,800","판매지수 217,701",2025년 12월
아름다운 초저녁달 10,"5,400","판매지수 20,460",2026년 05월
포켓몬 생태도감,"13,500","판매지수 81,480",2026년 04월
이향인,"15,210","판매지수 91,275",2026년 03월
생각하라 그리고 부자가 되어라,"16,920","판매지수 55,494",2026년 04월
말하지 않고 말하기,"21,600","판매지수 24,252",2026년 05월
오후의 마지막 잔디,"13,500","판매지수 41,631",2026년 04월
부처님 말씀대로 살아보니,"17,010","판매지수 153,942",2026년 02월
2026 문동균 한국사 지방직 대비 실전 봉투 모의고사,"11,700","판매지수 82,284",2026년 04월
심리학은 어떻게 삶의 무기가 되는가,"16,920","판매지수 33,285",2026년 05월
나의 완벽한 장례식,"17,100","판매지수 199,611",2026년 01월
진보를 위한 주식투자,"19,800","판매지수 318,048",2025년 12월
2026 심우철 하프 모의고사 Season 5 : 지방직 대비,"11,700","판매지수 54,384",2026년 04월
살찌지 않는 몸,"17,820","판매지수 55,257",2026년 03월
데미안,"7,200","판매지수 151,434",2000년 12월
월드클래스,"19,800","판매지수 20,514",2026년 04월
코스모스,"19,800","판매지수 229,773",2006년 12월
정재승의 로봇 탐구 보고서 1,"15,120","판매지수 29,550",2026년 05월
"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)","17,730","판매지수 128,355",2025년 06월
"AI, 신의 탄생 인간의 종말","19,800","판매지수 52,524",2026년 04월
최소한의 삼국지 (10만 부 기념 도원결의 에디션),"17,550","판매지수 324,318",2025년 11월
세금 아는 형의 세무조사 이야기,"18,000","판매지수 16,920",2026년 05월
너를 아끼며 살아라,"16,650","판매지수 294,294",2025년 06월
돈의 심리학 (50만 부 기념 뉴 에디션),"22,320","판매지수 114,351",2026년 01월
처음 읽는 삼국지 4,"15,120","판매지수 86,139",2026년 04월
젊은 베르테르의 슬픔,"8,100","판매지수 17,190",2026년 05월
봄의 폭풍과 몬스터 8,"5,400","판매지수 16,530",2026년 05월
삶이 허기질 때 나는 교양을 읽는다,"36,000","판매지수 17,982",2026년 05월
2026 심우철 실전 동형 모의고사 Season 3,"13,500","판매지수 94,980",2026년 04월
혼모노 (리커버),"16,200","판매지수 626,277",2025년 03월
긴긴밤,"11,250","판매지수 276,717",2021년 02월
부의 사다리에 올라타라,"20,700","판매지수 60,789",2026년 04월
아르테미스,"17,820","판매지수 90,027",2021년 05월
체인소 맨 23,"5,400","판매지수 15,060",2026년 05월
다정한 사람이 이긴다 (스페셜 리커버),"17,100","판매지수 168,891",2026년 04월
엄마가 유령이 되었어!,"10,800","판매지수 288,093",2016년 05월
행복한 꿀벌 콜레트,"15,120","판매지수 46,257",2026년 04월
소년이 온다,"13,500","판매지수 317,877",2014년 05월
주식투자 무작정 따라하기,"22,500","판매지수 64,482",2026년 01월
페르세폴리스,"28,800","판매지수 36,117",2019년 06월
급류,"12,600","판매지수 226,029",2022년 12월
거꾸로 가는 하나님 나라,"16,200","판매지수 40,857",2026년 05월
돈의 속성 400쇄 리커버,"16,020","판매지수 136,911",2020년 06월
2026 제17회 젊은작가상 수상작품집,"6,930","판매지수 87,591",2026년 03월
흔한남매 과학 탐험대 17 뇌와 호르몬,"15,120","판매지수 76,515",2026년 04월
이지패스 2026 ADsP 데이터분석 준전문가,"27,000","판매지수 139,404",2026년 01월
2026 써니 행정법총론 봉투모의고사,"10,800","판매지수 67,251",2026년 04월
향기로운 꽃은 늠름하게 핀다 19 더블특전판,"5,400","판매지수 80,754",2026년 04월
마션,"17,820","판매지수 88,827",2021년 05월
"AI 버블, 반도체 실전 투자법","36,000","판매지수 44,928",2026년 05월
어른의 감정을 돌보는 100일 필사 노트,"18,000","판매지수 78,531",2026년 04월
던전에서 만남을 추구하면 안 되는 걸까 21 소책자 특장판,"18,000","판매지수 12,990",2026년 05월
열혈강호 95,"4,950","판매지수 41,574",2026년 04월
흔한남매 방방곡곡 한국사 1,"15,120","판매지수 98,172",2026년 03월
오늘부터 300일,"14,850","판매지수 23,727",2021년 03월
해커스 토익 기출 VOCA (보카),"11,610","판매지수 288,735",2024년 08월
애태울 정도의 사랑을 알아라 2,"6,300","판매지수 12,450",2026년 05월
디그 잇 2 더블특전판,"6,300","판매지수 12,690",2026년 05월
가르쳐줘 집사 1,"6,300","판매지수 26,724",2026년 04월
이게 되네? 제미나이 완전 미친 활용법 81제,"21,600","판매지수 79,278",2026년 02월
운명을 보는 기술,"16,920","판매지수 131,634",2025년 10월
인간 실격,"8,100","판매지수 110,472",2004년 05월
10대를 위한 진짜를 보는 눈,"16,020","판매지수 15,408",2026년 05월
"끝까지 해 보자, 때밀이 장갑!","13,500","판매지수 45,474",2026년 04월
자본주의 시대에서 살아남기 위한 최소한의 경제 공부,"25,200","판매지수 169,632",2025년 12월
혼자 공부하는 바이브 코딩 with 클로드 코드,"27,000","판매지수 66,585",2025년 12월
한자어 천재라면,"13,950","판매지수 54,480",2026년 03월
잘 자고 잘 먹는 아기의 시간표,"19,800","판매지수 15,891",2026년 05월
어른의 행복은 조용하다,"16,020","판매지수 407,220",2024년 11월
주식 투자를 잘한다는 것,"19,800","판매지수 62,121",2026년 04월
바깥은 여름,"14,400","판매지수 75,486",2017년 06월
2026 오정화 세법 - 지방세법 이거다1(기출·응용 문제편),"28,500","판매지수 16,410",2026년 05월
너를 미워할 시간에 나를 사랑하기로 했다,"16,920","판매지수 159,084",2024년 11월
할 수 있다! AI 주식 투자,"22,500","판매지수 50,064",2026년 04월
브람스를 좋아하세요...,"9,000","판매지수 101,109",2008년 05월
염승환의 ETF 완전 정복,"21,600","판매지수 12,780",2026년 05월
이기적 유전자 The Selfish Gene,"18,000","판매지수 149,961",2018년 10월
작두 2,"15,120","판매지수 11,880",2026년 05월
2026 이동기 영어 실전동형 모의고사 Vol.2,"13,500","판매지수 44,787",2026년 04월
코믹 블루록 35,"5,400","판매지수 11,280",2026년 05월
길고양이와 늑대 6,"5,400","판매지수 10,560",2026년 05월
작두 1,"15,120","판매지수 11,880",2026년 05월
행복할 거야 이래도 되나 싶을 정도로,"16,200","판매지수 122,523",2024년 07월
다크 심리학,"19,710","판매지수 251,850",2025년 07월
2026/27 똑똑한은경쌤 손해평가사 2차 이론서 +100% 무료강의,"38,700","판매지수 26,265",2026년 04월
"큰별쌤 최태성의 별별한국사 7일의 기적 한국사능력검정시험 심화(1,2,3급)","14,850","판매지수 79,227",2024년 04월
이방인,"9,000","판매지수 105,708",2011년 03월
에그박사 18,"15,120","판매지수 66,483",2026년 04월
5번 레인 (30만 부 기념 리커버),"12,600","판매지수 153,810",2020년 09월
프로젝트 헤일메리,"19,800","판매지수 655,119",2026년 02월
품격 있는 대화를 위한 지식 브리핑,"22,500","판매지수 163,380",2026년 04월
안녕이라 그랬어,"15,120","판매지수 559,926",2025년 06월
타몬 군 지금 어느 쪽?! 12,"5,400","판매지수 74,220",2026년 05월
"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)","19,800","판매지수 319,287",2025년 12월
니체의 초월자,"15,210","판매지수 281,919",2025년 10월
흔한남매 22,"15,120","판매지수 209,625",2026년 04월
바다에서 온 소년,"17,820","판매지수 78,414",2026년 04월
내면 근력,"19,800","판매지수 87,186",2026년 04월
인생을 위한 최소한의 생각,"17,820","판매지수 309,213",2026년 02월
"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하","16,650","판매지수 397,683",2025년 12월
사춘기 엄마의 오장육부,"16,020","판매지수 72,477",2026년 04월
구멍청,"15,300","판매지수 95,457",2026년 05월
모순,"11,700","판매지수 467,991",2013년 04월
"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상","17,100","판매지수 425,346",2025년 12월
2026 선재국어 최우선 봉투 모의고사,"22,500","판매지수 181,329",2026년 04월
완벽한 원시인,"19,800","판매지수 194,091",2026년 03월
싯다르타,"7,200","판매지수 199,374",2002년 01월
21세기 대군부인 대본집 세트,"54,000","판매지수 144,297",2026년 05월
나쁜 일이 있어도 나쁜 날은 아니야,"15,120","판매지수 90,813",2026년 01월
제미나이 주식투자,"18,000","판매지수 71,256",2026년 04월
괴테는 모든 것을 말했다,"15,300","판매지수 414,846",2025년 11월
체호프 단편선,"8,100","판매지수 42,081",2002년 11월
위버멘쉬,"16,020","판매지수 424,260",2025년 03월
박곰희 연금 부자 수업,"18,900","판매지수 541,560",2025년 06월
누구나 오를 종목을 찾는 급등의 법칙,"22,500","판매지수 32,643",2026년 05월
자몽살구클럽,"10,800","판매지수 350,778",2025년 07월
무례한 세상에서 나를 지키는 법,"17,820","판매지수 162,768",2026년 03월
ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,"19,800","판매지수 233,910",2025년 12월
백지 앞에서,"15,750","판매지수 63,411",2026년 04월
2026 심우철 실전 동형 모의고사 Season 4,"13,500","판매지수 24,720",2026년 05월
ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,"19,800","판매지수 217,701",2025년 12월
아름다운 초저녁달 10,"5,400","판매지수 20,460",2026년 05월
포켓몬 생태도감,"13,500","판매지수 81,480",2026년 04월
이향인,"15,210","판매지수 91,275",2026년 03월
생각하라 그리고 부자가 되어라,"16,920","판매지수 55,494",2026년 04월
말하지 않고 말하기,"21,600","판매지수 24,252",2026년 05월
오후의 마지막 잔디,"13,500","판매지수 41,631",2026년 04월
부처님 말씀대로 살아보니,"17,010","판매지수 153,942",2026년 02월
2026 문동균 한국사 지방직 대비 실전 봉투 모의고사,"11,700","판매지수 82,284",2026년 04월
심리학은 어떻게 삶의 무기가 되는가,"16,920","판매지수 33,285",2026년 05월
나의 완벽한 장례식,"17,100","판매지수 199,611",2026년 01월
진보를 위한 주식투자,"19,800","판매지수 318,048",2025년 12월
2026 심우철 하프 모의고사 Season 5 : 지방직 대비,"11,700","판매지수 54,384",2026년 04월
살찌지 않는 몸,"17,820","판매지수 55,257",2026년 03월
데미안,"7,200","판매지수 151,434",2000년 12월
월드클래스,"19,800","판매지수 20,514",2026년 04월
코스모스,"19,800","판매지수 229,773",2006년 12월
정재승의 로봇 탐구 보고서 1,"15,120","판매지수 29,550",2026년 05월
"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)","17,730","판매지수 128,355",2025년 06월
"AI, 신의 탄생 인간의 종말","19,800","판매지수 52,524",2026년 04월
최소한의 삼국지 (10만 부 기념 도원결의 에디션),"17,550","판매지수 324,318",2025년 11월
세금 아는 형의 세무조사 이야기,"18,000","판매지수 16,920",2026년 05월
너를 아끼며 살아라,"16,650","판매지수 294,294",2025년 06월
돈의 심리학 (50만 부 기념 뉴 에디션),"22,320","판매지수 114,351",2026년 01월
처음 읽는 삼국지 4,"15,120","판매지수 86,139",2026년 04월
젊은 베르테르의 슬픔,"8,100","판매지수 17,190",2026년 05월
봄의 폭풍과 몬스터 8,"5,400","판매지수 16,530",2026년 05월
삶이 허기질 때 나는 교양을 읽는다,"36,000","판매지수 17,982",2026년 05월
2026 심우철 실전 동형 모의고사 Season 3,"13,500","판매지수 94,980",2026년 04월
혼모노 (리커버),"16,200","판매지수 626,277",2025년 03월
긴긴밤,"11,250","판매지수 276,717",2021년 02월
부의 사다리에 올라타라,"20,700","판매지수 60,789",2026년 04월
아르테미스,"17,820","판매지수 90,027",2021년 05월
체인소 맨 23,"5,400","판매지수 15,060",2026년 05월
다정한 사람이 이긴다 (스페셜 리커버),"17,100","판매지수 168,891",2026년 04월
엄마가 유령이 되었어!,"10,800","판매지수 288,093",2016년 05월
행복한 꿀벌 콜레트,"15,120","판매지수 46,257",2026년 04월
소년이 온다,"13,500","판매지수 317,877",2014년 05월
주식투자 무작정 따라하기,"22,500","판매지수 64,482",2026년 01월
페르세폴리스,"28,800","판매지수 36,117",2019년 06월
급류,"12,600","판매지수 226,029",2022년 12월
거꾸로 가는 하나님 나라,"16,200","판매지수 40,857",2026년 05월
돈의 속성 400쇄 리커버,"16,020","판매지수 136,911",2020년 06월
2026 제17회 젊은작가상 수상작품집,"6,930","판매지수 87,591",2026년 03월
흔한남매 과학 탐험대 17 뇌와 호르몬,"15,120","판매지수 76,515",2026년 04월
이지패스 2026 ADsP 데이터분석 준전문가,"27,000","판매지수 139,404",2026년 01월
2026 써니 행정법총론 봉투모의고사,"10,800","판매지수 67,251",2026년 04월
향기로운 꽃은 늠름하게 핀다 19 더블특전판,"5,400","판매지수 80,754",2026년 04월
마션,"17,820","판매지수 88,827",2021년 05월
"AI 버블, 반도체 실전 투자법","36,000","판매지수 44,928",2026년 05월
어른의 감정을 돌보는 100일 필사 노트,"18,000","판매지수 78,531",2026년 04월
던전에서 만남을 추구하면 안 되는 걸까 21 소책자 특장판,"18,000","판매지수 12,990",2026년 05월
열혈강호 95,"4,950","판매지수 41,574",2026년 04월
흔한남매 방방곡곡 한국사 1,"15,120","판매지수 98,172",2026년 03월
오늘부터 300일,"14,850","판매지수 23,727",2021년 03월
해커스 토익 기출 VOCA (보카),"11,610","판매지수 288,735",2024년 08월
애태울 정도의 사랑을 알아라 2,"6,300","판매지수 12,450",2026년 05월
디그 잇 2 더블특전판,"6,300","판매지수 12,690",2026년 05월
가르쳐줘 집사 1,"6,300","판매지수 26,724",2026년 04월
이게 되네? 제미나이 완전 미친 활용법 81제,"21,600","판매지수 79,278",2026년 02월
운명을 보는 기술,"16,920","판매지수 131,634",2025년 10월
인간 실격,"8,100","판매지수 110,472",2004년 05월
10대를 위한 진짜를 보는 눈,"16,020","판매지수 15,408",2026년 05월
"끝까지 해 보자, 때밀이 장갑!","13,500","판매지수 45,474",2026년 04월
자본주의 시대에서 살아남기 위한 최소한의 경제 공부,"25,200","판매지수 169,632",2025년 12월
혼자 공부하는 바이브 코딩 with 클로드 코드,"27,000","판매지수 66,585",2025년 12월
한자어 천재라면,"13,950","판매지수 54,480",2026년 03월
잘 자고 잘 먹는 아기의 시간표,"19,800","판매지수 15,891",2026년 05월
어른의 행복은 조용하다,"16,020","판매지수 407,220",2024년 11월
주식 투자를 잘한다는 것,"19,800","판매지수 62,121",2026년 04월
바깥은 여름,"14,400","판매지수 75,486",2017년 06월
2026 오정화 세법 - 지방세법 이거다1(기출·응용 문제편),"28,500","판매지수 16,410",2026년 05월
너를 미워할 시간에 나를 사랑하기로 했다,"16,920","판매지수 159,084",2024년 11월
할 수 있다! AI 주식 투자,"22,500","판매지수 50,064",2026년 04월
브람스를 좋아하세요...,"9,000","판매지수 101,109",2008년 05월
염승환의 ETF 완전 정복,"21,600","판매지수 12,780",2026년 05월
이기적 유전자 The Selfish Gene,"18,000","판매지수 149,961",2018년 10월
작두 2,"15,120","판매지수 11,880",2026년 05월
2026 이동기 영어 실전동형 모의고사 Vol.2,"13,500","판매지수 44,787",2026년 04월
코믹 블루록 35,"5,400","판매지수 11,280",2026년 05월
길고양이와 늑대 6,"5,400","판매지수 10,560",2026년 05월
작두 1,"15,120","판매지수 11,880",2026년 05월
행복할 거야 이래도 되나 싶을 정도로,"16,200","판매지수 122,523",2024년 07월
다크 심리학,"19,710","판매지수 251,850",2025년 07월
2026/27 똑똑한은경쌤 손해평가사 2차 이론서 +100% 무료강의,"38,700","판매지수 26,265",2026년 04월
"큰별쌤 최태성의 별별한국사 7일의 기적 한국사능력검정시험 심화(1,2,3급)","14,850","판매지수 79,227",2024년 04월
이방인,"9,000","판매지수 105,708",2011년 03월
에그박사 18,"15,120","판매지수 66,483",2026년 04월
5번 레인 (30만 부 기념 리커버),"12,600","판매지수 153,810",2020년 09월
프로젝트 헤일메리,"19,800","판매지수 655,119",2026년 02월
품격 있는 대화를 위한 지식 브리핑,"22,500","판매지수 163,380",2026년 04월
안녕이라 그랬어,"15,120","판매지수 559,926",2025년 06월
타몬 군 지금 어느 쪽?! 12,"5,400","판매지수 74,220",2026년 05월
"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)","19,800","판매지수 319,287",2025년 12월
니체의 초월자,"15,210","판매지수 281,919",2025년 10월
흔한남매 22,"15,120","판매지수 209,625",2026년 04월
바다에서 온 소년,"17,820","판매지수 78,414",2026년 04월
내면 근력,"19,800","판매지수 87,186",2026년 04월
인생을 위한 최소한의 생각,"17,820","판매지수 309,213",2026년 02월
"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하","16,650","판매지수 397,683",2025년 12월
사춘기 엄마의 오장육부,"16,020","판매지수 72,477",2026년 04월
구멍청,"15,300","판매지수 95,457",2026년 05월
모순,"11,700","판매지수 467,991",2013년 04월
"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상","17,100","판매지수 425,346",2025년 12월
2026 선재국어 최우선 봉투 모의고사,"22,500","판매지수 181,329",2026년 04월
완벽한 원시인,"19,800","판매지수 194,091",2026년 03월
싯다르타,"7,200","판매지수 199,374",2002년 01월
21세기 대군부인 대본집 세트,"54,000","판매지수 144,297",2026년 05월
나쁜 일이 있어도 나쁜 날은 아니야,"15,120","판매지수 90,813",2026년 01월
제미나이 주식투자,"18,000","판매지수 71,256",2026년 04월
괴테는 모든 것을 말했다,"15,300","판매지수 414,846",2025년 11월
체호프 단편선,"8,100","판매지수 42,081",2002년 11월
위버멘쉬,"16,020","판매지수 424,260",2025년 03월
박곰희 연금 부자 수업,"18,900","판매지수 541,560",2025년 06월
누구나 오를 종목을 찾는 급등의 법칙,"22,500","판매지수 32,643",2026년 05월
자몽살구클럽,"10,800","판매지수 350,778",2025년 07월
무례한 세상에서 나를 지키는 법,"17,820","판매지수 162,768",2026년 03월
ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,"19,800","판매지수 233,910",2025년 12월
백지 앞에서,"15,750","판매지수 63,411",2026년 04월
2026 심우철 실전 동형 모의고사 Season 4,"13,500","판매지수 24,720",2026년 05월
ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,"19,800","판매지수 217,701",2025년 12월
아름다운 초저녁달 10,"5,400","판매지수 20,460",2026년 05월
포켓몬 생태도감,"13,500","판매지수 81,480",2026년 04월
이향인,"15,210","판매지수 91,275",2026년 03월
생각하라 그리고 부자가 되어라,"16,920","판매지수 55,494",2026년 04월
말하지 않고 말하기,"21,600","판매지수 24,252",2026년 05월
오후의 마지막 잔디,"13,500","판매지수 41,631",2026년 04월
부처님 말씀대로 살아보니,"17,010","판매지수 153,942",2026년 02월
2026 문동균 한국사 지방직 대비 실전 봉투 모의고사,"11,700","판매지수 82,284",2026년 04월
심리학은 어떻게 삶의 무기가 되는가,"16,920","판매지수 33,285",2026년 05월
나의 완벽한 장례식,"17,100","판매지수 199,611",2026년 01월
진보를 위한 주식투자,"19,800","판매지수 318,048",2025년 12월
2026 심우철 하프 모의고사 Season 5 : 지방직 대비,"11,700","판매지수 54,384",2026년 04월
살찌지 않는 몸,"17,820","판매지수 55,257",2026년 03월
데미안,"7,200","판매지수 151,434",2000년 12월
월드클래스,"19,800","판매지수 20,514",2026년 04월
코스모스,"19,800","판매지수 229,773",2006년 12월
정재승의 로봇 탐구 보고서 1,"15,120","판매지수 29,550",2026년 05월
"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)","17,730","판매지수 128,355",2025년 06월
"AI, 신의 탄생 인간의 종말","19,800","판매지수 52,524",2026년 04월
최소한의 삼국지 (10만 부 기념 도원결의 에디션),"17,550","판매지수 324,318",2025년 11월
세금 아는 형의 세무조사 이야기,"18,000","판매지수 16,920",2026년 05월
너를 아끼며 살아라,"16,650","판매지수 294,294",2025년 06월
돈의 심리학 (50만 부 기념 뉴 에디션),"22,320","판매지수 114,351",2026년 01월
처음 읽는 삼국지 4,"15,120","판매지수 86,139",2026년 04월
젊은 베르테르의 슬픔,"8,100","판매지수 17,190",2026년 05월
봄의 폭풍과 몬스터 8,"5,400","판매지수 16,530",2026년 05월
삶이 허기질 때 나는 교양을 읽는다,"36,000","판매지수 17,982",2026년 05월
2026 심우철 실전 동형 모의고사 Season 3,"13,500","판매지수 94,980",2026년 04월
혼모노 (리커버),"16,200","판매지수 626,277",2025년 03월
긴긴밤,"11,250","판매지수 276,717",2021년 02월
부의 사다리에 올라타라,"20,700","판매지수 60,789",2026년 04월
아르테미스,"17,820","판매지수 90,027",2021년 05월
체인소 맨 23,"5,400","판매지수 15,060",2026년 05월
다정한 사람이 이긴다 (스페셜 리커버),"17,100","판매지수 168,891",2026년 04월
엄마가 유령이 되었어!,"10,800","판매지수 288,093",2016년 05월
행복한 꿀벌 콜레트,"15,120","판매지수 46,257",2026년 04월
소년이 온다,"13,500","판매지수 317,877",2014년 05월
주식투자 무작정 따라하기,"22,500","판매지수 64,482",2026년 01월
페르세폴리스,"28,800","판매지수 36,117",2019년 06월
급류,"12,600","판매지수 226,029",2022년 12월
거꾸로 가는 하나님 나라,"16,200","판매지수 40,857",2026년 05월
돈의 속성 400쇄 리커버,"16,020","판매지수 136,911",2020년 06월
2026 제17회 젊은작가상 수상작품집,"6,930","판매지수 87,591",2026년 03월
흔한남매 과학 탐험대 17 뇌와 호르몬,"15,120","판매지수 76,515",2026년 04월
이지패스 2026 ADsP 데이터분석 준전문가,"27,000","판매지수 139,404",2026년 01월
2026 써니 행정법총론 봉투모의고사,"10,800","판매지수 67,251",2026년 04월
향기로운 꽃은 늠름하게 핀다 19 더블특전판,"5,400","판매지수 80,754",2026년 04월
마션,"17,820","판매지수 88,827",2021년 05월
